Campaign,Ad Group,Keyword,Match Type,Max CPC
Kuddle | Search | Metros,Brand,kuddle super meal,Exact,18
Kuddle | Search | Metros,Brand,kuddle super meal,Phrase,18
Kuddle | Search | Metros,Brand,kuddle meal,Exact,18
Kuddle | Search | Metros,Brand,mr healthybite kuddle,Phrase,18
Kuddle | Search | Metros,Brand,kuddle ready to eat,Phrase,18
Kuddle | Search | Metros,Ready-to-Eat High Protein,ready to eat high protein meal,Phrase,20
Kuddle | Search | Metros,Ready-to-Eat High Protein,high protein ready to eat meal,Phrase,20
Kuddle | Search | Metros,Ready-to-Eat High Protein,ready to eat protein meal,Phrase,20
Kuddle | Search | Metros,Ready-to-Eat High Protein,instant high protein meal,Phrase,20
Kuddle | Search | Metros,Ready-to-Eat High Protein,high protein meal delivery,Phrase,20
Kuddle | Search | Metros,Paneer / Veg Instant Meal,ready to eat paneer meal,Phrase,18
Kuddle | Search | Metros,Paneer / Veg Instant Meal,instant paneer meal,Phrase,18
Kuddle | Search | Metros,Paneer / Veg Instant Meal,ready to eat veg meal,Phrase,18
Kuddle | Search | Metros,Paneer / Veg Instant Meal,instant veg meal online,Phrase,18
Kuddle | Search | Metros,Paneer / Veg Instant Meal,healthy ready to eat meal,Phrase,18
Kuddle | Search | Metros,Ready-to-Eat Meals,ready to eat meals online,Phrase,16
Kuddle | Search | Metros,Ready-to-Eat Meals,ready to eat food online,Phrase,16
Kuddle | Search | Metros,Ready-to-Eat Meals,instant meal online,Phrase,16
Kuddle | Search | Metros,Ready-to-Eat Meals,ready to eat meals india,Phrase,16
Kuddle | Search | Metros,Ready-to-Eat Meals,ready meal no cooking,Phrase,16
